,lat,long,tot_num_serv_connects_sdwis,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,unk_mat_serv_connects,pct_lsl_calc
441,39.12281,-85.132765,704,701.0,0.0,577.0,124.0,0.0
442,41.385574,-85.787366,630,630.0,0.0,0.0,630.0,0.0
443,40.80936,-85.139797,78,80.0,0.0,80.0,0.0,0.0
444,41.527827,-85.694433,363,371.0,71.0,300.0,0.0,19.14
445,41.27892,-86.046872,42,,,,,
446,39.788102,-85.155242,258,266.0,215.0,51.0,,80.83
447,41.661914,-86.178971,17457,18359.0,4602.0,11171.0,2586.0,25.07
448,38.730163,-86.471057,2000,1846.0,1600.0,,246.0,86.67
449,41.677485,-85.02819,19,19.0,,19.0,,
450,40.447112,-86.882812,15,,,15.0,,
451,40.863703,-86.879463,700,700.0,,,700.0,
452,38.615326,-87.354461,325,325.0,0.0,325.0,0.0,0.0
453,40.744838,-84.937752,360,360.0,0.0,360.0,,0.0
454,40.974771,-84.868297,400,,,,,
455,39.792816,-87.37085,479,479.0,0.0,479.0,0.0,0.0
456,38.662549,-87.046118,368,340.0,0.0,340.0,0.0,0.0
457,40.742743,-86.761598,2520,,,,,
458,40.552838,-85.286854,662,600.0,,200.0,400.0,
459,39.427825,-86.428328,3000,3300.0,,3300.0,,
460,39.371437,-86.261102,417,416.0,,416.0,0.0,
461,40.946146,-87.453363,542,531.0,,,531.0,
462,39.498116,-87.410626,34,36.0,0.0,36.0,,0.0
463,39.675493,-85.705051,525,,,,,
464,40.004398,-85.386597,168,,,,,
465,37.943293,-87.890278,3264,3427.0,,,3427.0,
466,40.34448,-86.665282,510,510.0,,510.0,0.0,
467,41.561814,-87.503899,8380,8380.0,,,8380.0,
468,39.034053,-85.512781,19,65.0,0.0,65.0,,0.0
469,39.205241,-85.330804,1515,1530.0,0.0,1530.0,,0.0
470,41.442891,-85.999728,2650,1838.0,1.0,434.0,1403.0,0.05
471,39.20725,-86.246954,1326,1310.0,0.0,1310.0,,0.0
472,38.9579,-85.893291,620,625.0,0.0,625.0,,0.0
473,38.876211,-86.899792,500,365.0,,292.0,73.0,
474,41.693873,-86.468711,860,803.0,342.0,451.0,10.0,42.59
475,39.964883,-85.37203,10,27.0,0.0,6.0,21.0,0.0
476,39.931045,-85.379726,8500,8345.0,1252.0,1669.0,5424.0,15.0
477,41.55854,-87.275935,2236,,,2322.0,,
478,41.561374,-86.897638,412,412.0,0.0,412.0,0.0,0.0
479,38.12841,-87.929133,653,653.0,10.0,643.0,0.0,1.53
480,41.070604,-85.014412,5089,5072.0,247.0,4500.0,250.0,4.87
481,39.95391,-86.919212,283,,,,,
482,38.50506,-86.016919,745,,,,,
